"family","genus","species","wd","Region","Reference.Number"
"Fabaceae","Abarema","jupunba",0.78,"South America (tropical)",114
"Fabaceae","Abarema","jupunba",0.66,"South America (tropical)",198
"Fabaceae","Abarema","jupunba",0.551,"South America (tropical)",52
"Fabaceae","Abarema","jupunba",0.534,"South America (tropical)",65
"Fabaceae","Abarema","jupunba",0.551,"South America (tropical)",189
"Fabaceae","Abarema","jupunba",0.5,"South America (tropical)",204
"Fabaceae","Abarema","jupunba",0.52,"South America (tropical)",45
"Fabaceae","Abarema","macradenia",0.438,"Central America (tropical)",167
"Pinaceae","Abies","alba",0.353,"Europe",28
"Pinaceae","Abies","amabilis",0.4,"NorthAmerica",7
"Pinaceae","Abies","arizonica",0.289,"NorthAmerica",118
"Pinaceae","Abies","balsamea",0.33,"NorthAmerica",7
"Pinaceae","Abies","concolor",0.37,"NorthAmerica",7
"Pinaceae","Abies","delavayi",0.4,"China",32
"Pinaceae","Abies","ernestii",0.36,"China",32
"Pinaceae","Abies","fabri",0.373,"China",33
"Pinaceae","Abies","fargesii",0.34,"China",32
"Pinaceae","Abies","faxoniana",0.385,"China",33
"Pinaceae","Abies","forrestii",0.35,"China",32
"Pinaceae","Abies","georgei",0.441,"China",33
"Pinaceae","Abies","georgei",0.425,"China",33
"Pinaceae","Abies","grandis",0.35,"NorthAmerica",7
"Pinaceae","Abies","guatemalensis",0.43,"Central America (tropical)",116
"Pinaceae","Abies","holophylla",0.336,"China",33
"Pinaceae","Abies","lasiocarpa",0.31,"NorthAmerica",7
"Pinaceae","Abies","magnifica",0.36,"NorthAmerica",7
"Pinaceae","Abies","nephrolepis",0.331,"China",33
"Pinaceae","Abies","nephrolepis",0.316,"China",33
"Pinaceae","Abies","pindrow",0.38,"India",109
"Pinaceae","Abies","pinsapo",0.41,"Europe",76
"Pinaceae","Abies","procera",0.37,"NorthAmerica",7
"Pinaceae","Abies","religiosa",0.38,"Mexico",51
"Menispermaceae","Abuta","rufescens",0.45,"South America (tropical)",45
"Fabaceae","Acacia","acradenia",0.904,"Australia",90
"Fabaceae","Acacia","acuminata",0.895,"Australia",90
"Fabaceae","Acacia","acuminata",1.008,"Australia",90
"Fabaceae","Acacia","adsurgens",0.887,"Australia",90
"Fabaceae","Acacia","albicorticata",0.49,"South America (tropical)",44
"Fabaceae","Acacia","alleniana",0.56,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","ampliceps",0.568,"Australia",90
"Fabaceae","Acacia","amythethophylla",1.007,"Africa (extratropical)",72
"Fabaceae","Acacia","aneura",1.033,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","aneura",1.035,"Australia",90
"Fabaceae","Acacia","aneura",1.019,"Australia",90
"Fabaceae","Acacia","aneura",0.929,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","aneura",0.861,"Australia",90
"Fabaceae","Acacia","aneura",0.996,"Australia",90
"Fabaceae","Acacia","aneura",1.044,"Australia",90
"Fabaceae","Acacia","aneura",0.92,"Australia",58
"Fabaceae","Acacia","aneura",0.982,"Australia",137
"Fabaceae","Acacia","angustissima",0.85,"Mexico",23
"Fabaceae","Acacia","arabica",0.86,"India",26
"Fabaceae","Acacia","aroma",0.808,"South America (extratropical)",66
"Fabaceae","Acacia","atkinsiana",0.89,"Australia",90
"Fabaceae","Acacia","aulacocarpa",0.581,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","aulacocarpa",0.612,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","aulacocarpa",0.594,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","aulacocarpa",0.689,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","aulacocarpa",0.86,"Australia",90
"Fabaceae","Acacia","aulacocarpa",0.594,"Australia/PNG (tropical)",27
"Fabaceae","Acacia","auriculiformis",0.68,"Australia",58
"Fabaceae","Acacia","bakeri",0.771,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","bidwillii",0.67,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","bivenosa",0.65,"Australia",90
"Fabaceae","Acacia","bivenosa",0.62,"Australia",90
"Fabaceae","Acacia","brachystachya",1.01,"Australia",90
"Fabaceae","Acacia","brachystachya",0.97,"Australia",90
"Fabaceae","Acacia","cambagei",1.048,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","cambagei",1.099,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","cambagei",1.06,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","cambagei",1.158,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","cambagei",1.05,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","catechu",0.801,"South-East Asia (tropical)",14
"Fabaceae","Acacia","caven",0.765,"South America (extratropical)",66
"Fabaceae","Acacia","caven",0.8,"South America (tropical)",110
"Fabaceae","Acacia","chisholmii",0.76,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","chisholmii",0.827,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","chundra",0.98,"India",109
"Fabaceae","Acacia","citrinoviridis",0.88,"Australia",90
"Fabaceae","Acacia","citrinoviridis",0.81,"Australia",90
"Fabaceae","Acacia","cochliacantha",0.94,"Mexico",23
"Fabaceae","Acacia","colei",0.61,"Australia",90
"Fabaceae","Acacia","colei",0.766,"Australia",90
"Fabaceae","Acacia","collinsii",0.8,"Central America (tropical)",116
"Fabaceae","Acacia","concurrens",0.758,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","confusa",0.713,"China",33
"Fabaceae","Acacia","confusa",0.753,"China",33
"Fabaceae","Acacia","confusa",0.672,"China",33
"Fabaceae","Acacia","confusa",0.791,"China",33
"Fabaceae","Acacia","coriacea",0.96,"Australia",90
"Fabaceae","Acacia","coriacea",0.916,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","craspedocarpa",0.887,"Australia",90
"Fabaceae","Acacia","crassicarpa",0.577,"Australia",90
"Fabaceae","Acacia","crassicarpa",0.618,"Australia",90
"Fabaceae","Acacia","crassicarpa",0.581,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","crassicarpa",0.61,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","dealbata",0.568,"South America (extratropical)",46
"Fabaceae","Acacia","dealbata",0.6,"Australia",90
"Fabaceae","Acacia","dealbata",0.572,"Australia",90
"Fabaceae","Acacia","dealbata",0.607,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","decurrens",0.551,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","decurrens",0.551,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","decurrens",0.582,"China",33
"Fabaceae","Acacia","decurrens",0.539,"China",33
"Fabaceae","Acacia","dictyophleba",0.762,"Australia",90
"Fabaceae","Acacia","difficilis",0.77,"Australia",90
"Fabaceae","Acacia","difficilis",0.784,"Australia",90
"Fabaceae","Acacia","doratoxylon",0.788,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","elata",0.51,"South-East Asia (tropical)",129
"Fabaceae","Acacia","erioloba",1.059,"Africa (extratropical)",72
"Fabaceae","Acacia","eriopoda",0.9,"Australia",90
"Fabaceae","Acacia","excelsa",0.938,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","excelsa",0.937,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","fasciculifera",0.964,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","ferruginea",0.88,"India",109
"Fabaceae","Acacia","furcatispina",0.869,"South America (extratropical)",66
"Fabaceae","Acacia","galpinii",0.659,"Africa (extratropical)",72
"Fabaceae","Acacia","georginae",0.775,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","gerrardii",0.775,"Africa (extratropical)",72
"Fabaceae","Acacia","glaucocarpa",0.78,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","goetzei",0.883,"Africa (extratropical)",72
"Fabaceae","Acacia","grasbyi",1.054,"Australia",90
"Fabaceae","Acacia","grasbyi",0.86,"Australia",90
"Fabaceae","Acacia","grasbyi",1.032,"Australia",90
"Fabaceae","Acacia","harpophylla",0.908,"Australia",90
"Fabaceae","Acacia","harpophylla",0.884,"Australia",90
"Fabaceae","Acacia","harpophylla",0.883,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","harpophylla",0.91,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","hemignosta",0.646,"Australia",90
"Fabaceae","Acacia","hemsleyi",0.6,"Australia",90
"Fabaceae","Acacia","hindsii",0.78,"Mexico",23
"Fabaceae","Acacia","holosericea",0.749,"Africa (tropical)",4
"Fabaceae","Acacia","implexa",0.589,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","implexa",0.689,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","irrorata",0.551,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","jennerae",0.742,"Australia",90
"Fabaceae","Acacia","karroo",0.689,"Africa (extratropical)",72
"Fabaceae","Acacia","laccata",0.723,"Australia",90
"Fabaceae","Acacia","lasiocalyx",0.684,"Australia",90
"Fabaceae","Acacia","leucophloea",0.45,"Australia",60
"Fabaceae","Acacia","longifolia",0.51,"Australia",129
"Fabaceae","Acacia","maconochieana",0.8,"Australia",90
"Fabaceae","Acacia","maconochieana",0.801,"Australia",90
"Fabaceae","Acacia","macracantha",0.73,"South America (tropical)",44
"Fabaceae","Acacia","maidenii",0.62,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","mangium",0.448,"Australia/PNG (tropical)",40
"Fabaceae","Acacia","mangium",0.474,"Australia/PNG (tropical)",203
"Fabaceae","Acacia","mangium",0.519,"Australia/PNG (tropical)",203
"Fabaceae","Acacia","mangium",0.474,"Australia/PNG (tropical)",203
"Fabaceae","Acacia","mangium",0.594,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","mangium",0.49,"Australia/PNG (tropical)",129
"Fabaceae","Acacia","mangium",0.55,"Australia/PNG (tropical)",60
"Fabaceae","Acacia","mayana",0.73,"Mexico",23
"Fabaceae","Acacia","mearnsii",0.671,"Australia/PNG (tropical)",46
"Fabaceae","Acacia","mearnsii",0.65,"Australia/PNG (tropical)",60
"Fabaceae","Acacia","mearnsii",0.658,"Australia/PNG (tropical)",63
"Fabaceae","Acacia","melanoxylon",0.568,"South America (extratropical)",46
"Fabaceae","Acacia","melanoxylon",0.57,"Australia",38
"Fabaceae","Acacia","melanoxylon",0.389,"Oceania",203
"Fabaceae","Acacia","melanoxylon",0.416,"Oceania",203
"Fabaceae","Acacia","melanoxylon",0.637,"Australia",203
"Fabaceae","Acacia","melanoxylon",0.555,"Australia",90
"Fabaceae","Acacia","melanoxylon",0.559,"Australia",90
"Fabaceae","Acacia","melanoxylon",0.551,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","mellifera",0.947,"Africa (extratropical)",72
"Fabaceae","Acacia","modesta",0.835,"India",135
"Fabaceae","Acacia","murrayana",0.519,"Australia",90
"Fabaceae","Acacia","nilotica",0.654,"Australia",63
"Fabaceae","Acacia","nilotica",0.689,"Australia",202
"Fabaceae","Acacia","nilotica",0.827,"Australia",72
"Fabaceae","Acacia","omalophylla",1.063,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","omalophylla",1.063,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","oraria",0.92,"Australia/PNG (tropical)",129
"Fabaceae","Acacia","oshanesii",0.771,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","oshanesii",0.771,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","oswaldii",0.976,"Australia",90
"Fabaceae","Acacia","pachycarpa",0.87,"Australia",90
"Fabaceae","Acacia","pallidifolia",0.68,"Australia",90
"Fabaceae","Acacia","papyrocarpa",1.073,"Australia",90
"Fabaceae","Acacia","papyrocarpa",0.887,"Australia",90
"Fabaceae","Acacia","papyrocarpa",0.966,"Australia",90
"Fabaceae","Acacia","pellita",0.67,"Australia",90
"Fabaceae","Acacia","pendula",0.994,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","penninervis",0.605,"Australia",90
"Fabaceae","Acacia","penninervis",0.668,"Australia",90
"Fabaceae","Acacia","peuce",1.227,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","podalyriifolia",0.68,"Australia",129
"Fabaceae","Acacia","polyacantha",0.671,"Australia",137
"Fabaceae","Acacia","polyacantha",0.607,"Australia",72
"Fabaceae","Acacia","polyphylla",0.79,"South America (tropical)",114
"Fabaceae","Acacia","polyphylla",0.637,"South America (tropical)",57
"Fabaceae","Acacia","polyphylla",0.6,"South America (tropical)",77
"Fabaceae","Acacia","polyphylla",0.49,"South America (tropical)",44
"Fabaceae","Acacia","praecox",0.765,"South America (extratropical)",66
"Fabaceae","Acacia","pruinocarpa",0.981,"Australia",90
"Fabaceae","Acacia","pruinocarpa",0.897,"Australia",90
"Fabaceae","Acacia","pubescens",0.6,"Australia",38
"Fabaceae","Acacia","pubescens",0.587,"Australia",90
"Fabaceae","Acacia","pubescens",0.664,"Australia",90
"Fabaceae","Acacia","quadrimarginea",0.922,"Australia",90
"Fabaceae","Acacia","ramulosa",1.007,"Australia",90
"Fabaceae","Acacia","resinimarginea",0.996,"Australia",90
"Fabaceae","Acacia","rhodoxylon",1.102,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","richii",0.7,"South America (tropical)",136
"Fabaceae","Acacia","robusta",0.732,"Africa (extratropical)",72
"Fabaceae","Acacia","salicina",0.581,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","sclerosperma",0.86,"Australia",90
"Fabaceae","Acacia","shirleyi",1.02,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","shirleyi",1,"Australia",90
"Fabaceae","Acacia","shirleyi",0.856,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","shirleyi",0.904,"Australia",90
"Fabaceae","Acacia","sibilans",0.97,"Australia",90
"Fabaceae","Acacia","spectabilis",0.766,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","stenophylla",0.775,"Australia",90
"Fabaceae","Acacia","stenophylla",0.827,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","stenophylla",0.69,"Australia",90
"Fabaceae","Acacia","stipuligera",0.81,"Australia",90
"Fabaceae","Acacia","subtessarogona",1.097,"Australia",90
"Fabaceae","Acacia","suma",1.21,"India",26
"Fabaceae","Acacia","tenuifolia",0.49,"South America (tropical)",44
"Fabaceae","Acacia","tetragonophylla",0.874,"Australia",90
"Fabaceae","Acacia","tetragonophylla",1.002,"Australia",90
"Fabaceae","Acacia","tomentosa",0.51,"South-East Asia (tropical)",129
"Fabaceae","Acacia","trinervata",0.758,"Australia/PNG (tropical)",90
"Fabaceae","Acacia","tucumanensis",0.63,"South America (tropical)",134
"Fabaceae","Acacia","victoriae",0.692,"Australia",90
"Fabaceae","Acacia","visco",0.688,"South America (extratropical)",66
"Fabaceae","Acacia","xanthophloea",0.758,"Africa (extratropical)",72
"Fabaceae","Acacia","xiphophylla",1.137,"Australia",90
"Euphorbiaceae","Acalypha","caturus",0.3,"South-East Asia (tropical)",16
"Santalaceae","Acanthosyris","falcata",0.645,"South America (extratropical)",66
"Santalaceae","Acanthosyris","falcata",0.646,"South America (extratropical)",46
"Santalaceae","Acanthosyris","glabrata",0.6,"South America (tropical)",204
"Myrtaceae","Acca","sellowiana",0.75,"South America (extratropical)",114
"Sapindaceae","Acer","buergerianum",0.62,"China",197
"Sapindaceae","Acer","caesium",0.499,"India",135
"Sapindaceae","Acer","campbellii",0.499,"India",135
"Sapindaceae","Acer","campestre",0.525,"Europe",28
"Sapindaceae","Acer","catalpifolium",0.45,"South-East Asia",136
"Sapindaceae","Acer","cultratum",0.55,"South-East Asia",136
"Sapindaceae","Acer","davidii",0.472,"China",33
"Sapindaceae","Acer","davidii",0.444,"China",33
"Sapindaceae","Acer","decandrum",0.574,"China",33
"Sapindaceae","Acer","decandrum",0.68,"China",33
"Sapindaceae","Acer","decandrum",0.62,"China",126
"Sapindaceae","Acer","decandrum",0.608,"China",33
"Sapindaceae","Acer","decandrum",0.75,"China",33
"Sapindaceae","Acer","laurinum",0.43,"South-East Asia (tropical)",129
"Sapindaceae","Acer","macrophyllum",0.44,"NorthAmerica",6
"Sapindaceae","Acer","mandshuricum",0.585,"China",33
"Sapindaceae","Acer","mono",0.61,"China",33
"Sapindaceae","Acer","mono",0.715,"China",33
"Sapindaceae","Acer","mono",0.564,"China",33
"Sapindaceae","Acer","mono",0.668,"China",33
"Sapindaceae","Acer","negundo",0.416,"NorthAmerica",6
"Sapindaceae","Acer","nigrum",0.52,"NorthAmerica",6
"Sapindaceae","Acer","niveum",0.53,"South-East Asia (tropical)",43
"Sapindaceae","Acer","oblongum",0.603,"India",135
"Sapindaceae","Acer","pensylvanicum",0.44,"NorthAmerica",6
"Sapindaceae","Acer","pensylvanicum",0.44,"NorthAmerica",118
"Sapindaceae","Acer","pictum",0.629,"India",135
"Sapindaceae","Acer","platanoides",0.508,"Europe",158
"Sapindaceae","Acer","platanoides",0.525,"Europe",28
"Sapindaceae","Acer","pseudoplatanus",0.508,"Europe",28
"Sapindaceae","Acer","pseudoplatanus",0.51,"Europe",60
"Sapindaceae","Acer","rubrum",0.49,"NorthAmerica",6
"Sapindaceae","Acer","saccharinum",0.44,"NorthAmerica",6
"Sapindaceae","Acer","saccharum",0.56,"NorthAmerica",6
"Sapindaceae","Acer","sterculiaceum",0.353,"India",135
"Sapindaceae","Acer","truncatum",0.59,"China",197
"Elaeocarpaceae","Aceratium","concinnum",0.62,"Australia/PNG (tropical)",90
"Elaeocarpaceae","Aceratium","concinnum",0.62,"Australia/PNG (tropical)",90
"Elaeocarpaceae","Aceratium","doggrellii",0.525,"Australia/PNG (tropical)",90
"Elaeocarpaceae","Aceratium","megalospermum",0.538,"Australia/PNG (tropical)",90
"Elaeocarpaceae","Aceratium","megalospermum",0.538,"Australia/PNG (tropical)",90
"Elaeocarpaceae","Aceratium","sericeum",0.42,"South-East Asia (tropical)",129
"Chrysobalanaceae","Acioa","edulis",0.82,"South America (tropical)",41
"Chrysobalanaceae","Acioa","guianensis",0.86,"South America (tropical)",44
"Malpighiaceae","Acmanthera","latifolia",0.69,"South America (tropical)",44
"Myrtaceae","Acmena","acuminatissima",0.63,"South-East Asia (tropical)",126
"Myrtaceae","Acmena","graveolens",0.512,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","graveolens",0.512,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","hemilampra",0.62,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","ingens",0.456,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","ingens",0.456,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","ingens",0.456,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","macrocarpa",0.512,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","resa",0.676,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","smithii",0.612,"Australia",90
"Myrtaceae","Acmena","smithii",0.607,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","smithii",0.65,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","smithii",0.676,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","smithii",0.607,"Australia/PNG (tropical)",90
"Myrtaceae","Acmena","smithii",0.676,"Australia/PNG (tropical)",90
"Myrtaceae","Acmenosperma","claviflorum",0.758,"Australia/PNG (tropical)",90
"Apocynaceae","Acokanthera","oppositifolia",0.784,"Africa (extratropical)",72
"Fabaceae","Acosmium","dasycarpum",0.7,"South America (extratropical)",114
"Fabaceae","Acosmium","nitens",0.74,"South America (tropical)",134
"Fabaceae","Acosmium","nitens",0.827,"South America (tropical)",52
"Fabaceae","Acosmium","nitens",0.82,"South America (tropical)",45
"Fabaceae","Acosmium","panamense",0.81,"South America (tropical)",204
"Fabaceae","Acosmium","praeclarum",0.68,"South America (tropical)",52
"Rutaceae","Acradenia","euodiiformis",0.771,"Australia/PNG (tropical)",90
"Rutaceae","Acradenia","euodiiformis",0.771,"Australia/PNG (tropical)",90
"Rutaceae","Acradenia","frankliniae",0.628,"Australia",90
"Fabaceae","Acrocarpus","fraxinifolius",0.68,"India",26
"Fabaceae","Acrocarpus","fraxinifolius",0.503,"South-East Asia (tropical)",14
"Rutaceae","Acronychia","acidula",0.551,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","acronychioides",0.538,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","goniocarpa",0.51,"South-East Asia (tropical)",129
"Rutaceae","Acronychia","haplophylla",0.719,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","haplophylla",0.719,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","laevis",0.523,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","laevis",0.551,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","melicopoides",0.538,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","octandra",0.551,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","octandra",0.551,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","oligophlebia",0.37,"South-East Asia (tropical)",126
"Rutaceae","Acronychia","pedunculata",0.439,"China",33
"Rutaceae","Acronychia","pedunculata",0.52,"South-East Asia (tropical)",129
"Rutaceae","Acronychia","pedunculata",0.417,"China",33
"Rutaceae","Acronychia","porteri",0.52,"South-East Asia (tropical)",43
"Rutaceae","Acronychia","pullei",0.65,"South-East Asia (tropical)",129
"Rutaceae","Acronychia","trifoliolata",0.55,"South-East Asia (tropical)",129
"Rutaceae","Acronychia","vestita",0.497,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","vestita",0.508,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","vestita",0.607,"Australia/PNG (tropical)",90
"Rutaceae","Acronychia","wilcoxiana",0.551,"Australia/PNG (tropical)",90
"Lauraceae","Actinodaphne","borneensis",0.5,"South-East Asia (tropical)",177
"Lauraceae","Actinodaphne","glabra",0.52,"South-East Asia (tropical)",129
"Lauraceae","Actinodaphne","glomerata",0.41,"South-East Asia (tropical)",129
"Lauraceae","Actinodaphne","maingayi",0.59,"South-East Asia (tropical)",43
"Lauraceae","Actinodaphne","malaccensis",0.55,"South-East Asia (tropical)",43
"Lauraceae","Actinodaphne","procera",0.4,"South-East Asia (tropical)",129
"Lauraceae","Actinodaphne","sesquipedalis",0.65,"South-East Asia (tropical)",43
"Lauraceae","Actinodaphne","sphaerocarpa",0.46,"South-East Asia (tropical)",43
"Euphorbiaceae","Actinostemon","lanceolatus",0.907,"South America (extratropical)",121
"Malvaceae","Adansonia","digitata",0.276,"Africa (tropical)",4
"Euphorbiaceae","Adelia","oaxacana",0.87,"Mexico",23
"Euphorbiaceae","Adelia","triloba",0.543,"Central America (tropical)",168
"Fabaceae","Adenanthera","bicolor",0.85,"South-East Asia (tropical)",43
"Fabaceae","Adenanthera","intermedia",0.78,"South-East Asia (tropical)",80
"Fabaceae","Adenanthera","microsperma",0.64,"South-East Asia (tropical)",16
"Fabaceae","Adenanthera","pavonina",0.7,"South-East Asia (tropical)",111
"Fabaceae","Adenanthera","pavonina",0.573,"China",33
"Fabaceae","Adenanthera","pavonina",0.637,"China",33
"Fabaceae","Adenanthera","pavonina",0.57,"South-East Asia (tropical)",126
"Fabaceae","Adenanthera","pavonina",0.88,"India",26
"Fabaceae","Adenanthera","pavonina",0.77,"South-East Asia (tropical)",43
"Fabaceae","Adenanthera","pavonina",0.598,"China",33
"Fabaceae","Adenanthera","pavonina",0.68,"China",33
"Fabaceae","Adenanthera","pavonina",0.775,"Australia/PNG (tropical)",27
"Fabaceae","Adenanthera","tamarindifolia",0.73,"South-East Asia (tropical)",129
"Rosaceae","Adenostoma","fasciculatum",0.75,"NorthAmerica",3
"Rubiaceae","Adina","cordifolia",0.59,"India",109
"Rubiaceae","Adina","globiflora",0.92,"China",31
"Rubiaceae","Adina","microcephala",0.75,"South-East Asia",136
"Rubiaceae","Adina","pilulifera",0.865,"China",33
"Rubiaceae","Adina","pilulifera",0.917,"China",33
"Rubiaceae","Adina","polycephala",0.76,"South-East Asia (tropical)",43
"Rubiaceae","Adina","polycephala",0.603,"South-East Asia (tropical)",13
"Rubiaceae","Adina","rubescens",0.71,"South-East Asia (tropical)",43
"Rubiaceae","Adina","sessilifolia",0.603,"South-East Asia (tropical)",13
"Pentaphylacaeae","Adinandra","acuminata",0.48,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","acutifolia",0.629,"China",33
"Pentaphylacaeae","Adinandra","acutifolia",0.639,"China",33
"Pentaphylacaeae","Adinandra","borneensis",0.48,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","collina",0.61,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","collina",0.33,"South-East Asia (tropical)",177
"Pentaphylacaeae","Adinandra","cordifolia",0.5,"South-East Asia (tropical)",177
"Pentaphylacaeae","Adinandra","dasyantha",0.46,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","dumosa",0.49,"South-East Asia (tropical)",80
"Pentaphylacaeae","Adinandra","dumosa",0.59,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","forbesii",0.63,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","hainanensis",0.47,"China",32
"Pentaphylacaeae","Adinandra","integerrima",0.56,"South-East Asia (tropical)",43
"Pentaphylacaeae","Adinandra","javanica",0.51,"South-East Asia (tropical)",43
"Pentaphylacaeae","Adinandra","lamponga",0.53,"South-East Asia (tropical)",43
"Pentaphylacaeae","Adinandra","maculosa",0.51,"South-East Asia (tropical)",43
"Pentaphylacaeae","Adinandra","millettii",0.44,"China",32
"Pentaphylacaeae","Adinandra","polyneura",0.52,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","rantepaoensis",0.4,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","sarosanthera",0.53,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","subauriculata",0.58,"South-East Asia (tropical)",129
"Pentaphylacaeae","Adinandra","subunguiculata",0.5,"South-East Asia (tropical)",129
"Rubiaceae","Adinauclea","fagifolia",0.65,"South-East Asia (tropical)",170
"Rutaceae","Adiscanthus","fusciflorus",0.82,"South America (tropical)",44
"Myrsinaceae","Aegiceras","corniculatum",0.51,"South-East Asia (tropical)",129
"Myrsinaceae","Aegiceras","floridum",0.68,"South-East Asia (tropical)",129
"Lamiaceae","Aegiphila","integrifolia",0.86,"South America (tropical)",15
"Lamiaceae","Aegiphila","intermedia",0.43,"South America (tropical)",44
"Lamiaceae","Aegiphila","klotzkiana",0.68,"South America (extratropical)",114
"Rutaceae","Aegle","marmelos",0.88,"India",26
"Rutaceae","Aegle","marmelos",0.771,"South-East Asia (tropical)",14
"Sapindaceae","Aesculus","chinensis",0.6,"South-East Asia (tropical)",126
"Sapindaceae","Aesculus","flava",0.347,"NorthAmerica",118
"Sapindaceae","Aesculus","hippocastanum",0.5,"Europe",76
"Sapindaceae","Aesculus","indica",0.465,"India",135
"Sapindaceae","Aesculus","octandra",0.33,"NorthAmerica",6
"Sapindaceae","Aesculus","turbinata",0.45,"South-East Asia",136
"Thymelaeaceae","Aetoxylon","sympetalum",0.74,"South-East Asia (tropical)",129
"Cornaceae","Afrocrania","volkensii",0.81,"Africa (extratropical)",124
"Cornaceae","Afrocrania","volkensii",0.516,"Africa (extratropical)",137
"Fabaceae","Afzelia","africana",0.67,"Africa (tropical)",60
"Fabaceae","Afzelia","africana",0.689,"Africa (tropical)",1
"Fabaceae","Afzelia","africana",0.63,"Africa (tropical)",39
"Fabaceae","Afzelia","africana",0.68,"Africa (tropical)",63
"Fabaceae","Afzelia","africana",0.706,"Africa (tropical)",63
"Fabaceae","Afzelia","africana",0.688,"Africa (tropical)",98
