Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Abuta panamensis,Abuta panamensis,,1,Accepted,Abuta panamensis,(Standl.) Krukoff & Barneby,Menispermaceae,tpl;tropicos, ,
Abuta panurensis,Abuta panurensis,,1,Accepted,Abuta panurensis,Eichler,Menispermaceae,tpl;tropicos, ,
Abuta racemosa,Abuta racemosa,,1,Accepted,Abuta racemosa,Triana & Planch.,Menispermaceae,tpl, ,
Abuta rufescens,Abuta rufescens,,1,Accepted,Abuta rufescens,Aubl.,Menispermaceae,tpl;tropicos, ,
Abuta solimoesensis,Abuta solimoesensis,,1,Accepted,Abuta solimoesensis,Krukoff & Barneby,Menispermaceae,tpl;tropicos, ,
Abuta sppAnchicay1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppAntado1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppAraracua1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppCamorin1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppConstanc1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppCuangos1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppCuzcoama1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppCuzcoama2,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppLinhares1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppNangarit1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppPE1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppPipeline1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppRAINFOR1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppTamboall1,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Abuta sppTamboall2,Abuta,,0.9,Accepted,Abuta,,Menispermaceae,tpl, ,
Acacia acanthophylla,Acacia acanthophylla,,1,Synonym,Senegalia hayesii,(Benth.) Britton & Rose,Fabaceae,tropicos, ,
Acacia albicorticata,Acacia albicorticata,,1,Synonym,Vachellia albicorticata,(Burkart) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia alemquerensis,Acacia alemquerensis,,1,Synonym,Senegalia alemquerensis,(Huber) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia altiscandens,Acacia altiscandens,,1,Synonym,Senegalia altiscandens,(Ducke) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia anegadensis,Acacia anegadensis,,1,Synonym,Vachellia anegadensis,(Britton) Seigler & Ebinger,Fabaceae,ildis, ,
Acacia aneura,Acacia aneura,,1,No opinion,,,,tpl, ,
Acacia angustissima,Acacia angustissima,,1,Accepted,Acacia angustissima,,Fabaceae,tpl, ,
Acacia arabica,Acacia arabica,,1,No opinion,,,,tpl, ,
Acacia argyrodendron,Acacia argyrodendron,,1,Accepted,Acacia argyrodendron,Domin,Fabaceae,ildis, ,
Acacia articulata,Acacia articulata,,1,Accepted,Acacia articulata,Ducke,Fabaceae,tropicos, ,
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,
Acacia auriculiformis,Acacia auriculiformis,,1,Accepted,Acacia auriculiformis,Cunn. ex Benth.,Fabaceae,ildis, ,
Acacia bonariensis,Acacia bonariensis,,1,Synonym,Senegalia bonariensis,(Gillies ex Hook. & Arn.) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia borleae,Acacia borleae,,1,Synonym,Vachellia borleae,(Burtt Davy) Kyal. & Boatwr.,Fabaceae,ildis, ,
Acacia burkei,Acacia burkei,,1,Synonym,Senegalia burkei,(Benth.) Kyal. & Boatwr.,Fabaceae,ildis, ,
Acacia caffra,Acacia caffra,,1,No opinion,,,,tpl, ,
Acacia cambagei,Acacia cambagei,,1,Accepted,Acacia cambagei,R.Baker,Fabaceae,ildis, ,
Acacia caven,Acacia caven,,1,No opinion,,,,tpl, ,
Acacia concurrens,Acacia concurrens,,1,Accepted,Acacia concurrens,Pedley,Fabaceae,ildis, ,
Acacia confusa,Acacia confusa,,1,No opinion,,,,tpl, ,
Acacia cornigera,Acacia cornigera,,1,Synonym,Vachellia cornigera,(L.) Seigler & Ebinger,Fabaceae,ildis, ,
Acacia crassicarpa,Acacia crassicarpa,,1,Accepted,Acacia crassicarpa,Cunn. ex Benth.,Fabaceae,ildis, ,
Acacia dealbata,Acacia dealbata,,1,Accepted,Acacia dealbata,Link,Fabaceae,ildis;tropicos;usda, ,
Acacia disparrima,Acacia disparrima,,1,Synonym,Racosperma disparrimum,(M.W. McDonald & Maslin) Pedley,Fabaceae,tpl;tropicos, ,
Acacia dolichostachya,Acacia dolichostachya,,1,Synonym,Mariosousa dolichostachya,(S.F. Blake) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia doratoxylon,Acacia doratoxylon,,1,Accepted,Acacia doratoxylon,Cunn. in B.Field,Fabaceae,ildis, ,
Acacia drakei,Acacia drakei,,1,Synonym,Acacia sakalava,Drake,Fabaceae,tropicos, ,
Acacia excelsa,Acacia excelsa,,1,Accepted,Acacia excelsa,Benth. in T.Mitch.,Fabaceae,ildis, ,
Acacia falcata,Acacia falcata,,1,Accepted,Acacia falcata,Willd.,Fabaceae,ildis;tropicos, ,
Acacia farnesiana,Acacia farnesiana,,1,No opinion,,,,tpl, ,
Acacia feddeana,Acacia feddeana,,1,Synonym,Senegalia feddeana,(Harms) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia fimbriata,Acacia fimbriata,,1,Accepted,Acacia fimbriata,Cunn. ex Don,Fabaceae,ildis, ,
Acacia flavescens,Acacia flavescens,,1,Accepted,Acacia flavescens,Cunn. ex Benth.,Fabaceae,ildis, ,
Acacia flexuosa,Acacia flexuosa,,1,No opinion,,,,tpl, ,
Acacia gentlei,Acacia gentlei,,1,Synonym,Vachellia gentlei,(Standl.) Seigler & Ebinger,Fabaceae,ildis, ,
Acacia georginae,Acacia georginae,,1,No opinion,,,,tpl, ,
Acacia gerrardii,Acacia gerrardii,,1,No opinion,,,,tpl, ,
Acacia glomerosa,Acacia glomerosa,,1,No opinion,,,,tropicos, ,
Acacia grandicornuta,Acacia grandicornuta,,1,Synonym,Vachellia grandicornuta,(Gerstner) Seigler & Ebinger,Fabaceae,ildis;tropicos, ,
Acacia guadalupensis,Acacia guadalupensis,,1,Synonym,Senegalia guadalupensis,(DC.) Britton & Rose,Fabaceae,tropicos, ,
Acacia hindsii,Acacia hindsii,,1,Synonym,Vachellia hindsii,(Benth.) Seigler & Ebinger,Fabaceae,ildis, ,
Acacia huberi,Acacia huberi,,1,Synonym,Senegalia huberi,(Ducke) Seigler & Ebinger,Fabaceae,ildis, ,
Acacia hybrid,Acacia,,0.9,Accepted,Acacia,,Fabaceae,tpl;usda, ,
Acacia hylonoma,Acacia hylonoma,,1,Accepted,Acacia hylonoma,Pedley,Fabaceae,ildis, ,
Acacia implexa,Acacia implexa,,1,Accepted,Acacia implexa,Benth.,Fabaceae,ildis;tropicos;usda, ,
Acacia irrorata,Acacia irrorata,,1,No opinion,,,,tpl, ,
