,ID_AE,Latitude,Longitude,Family,Genus,Species,Substitute_equation,Unit_X,Min_X,Max_X,Output_TR,Unit_Y,Ecoregion_WWF,Veg_Component
16,36817,35.8022,-82.3452,Fagaceae,Quercus,velutina,Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586)),in2,139,475,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
17,36817,34.766,-84.1435,Fagaceae,Quercus,velutina,Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586)),in2,139,475,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
18,36819,30.0684,-83.3669,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
19,36819,34.1901,-78.2818,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
20,36819,34.8324,-77.345,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
21,36819,35.2406,-77.1309,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
22,36819,36.1506,-76.9703,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
23,36819,30.684,-88.7733,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
24,36819,32.3166,-88.0774,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
25,36819,31.8884,-87.3012,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
26,36819,31.7278,-88.0774,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
27,36819,30.684,-86.2574,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
28,36819,35.6956,-76.5957,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
29,36819,33.8957,-79.0847,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
30,36819,31.1925,-87.8633,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
31,36819,29.3726,-82.564,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
32,36819,33.4942,-79.4862,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
33,36819,36.7929,-76.8365,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
34,36819,29.8276,-82.9387,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
35,36819,29.3726,-81.6808,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
36,36819,29.9882,-81.7343,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
37,36819,30.3896,-81.7343,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
38,36819,31.0587,-82.1358,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
39,36819,32.2096,-81.3061,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
40,36819,31.7546,-90.7806,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
41,36819,32.7716,-80.6905,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
42,36819,32.9054,-80.1285,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
43,36819,33.2266,-81.092,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
44,36819,31.1658,-88.7465,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
45,36819,31.1658,-81.7343,Aceraceae,Acer,rubrum,Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
46,36820,30.0684,-83.3669,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+2.5179*((DBH^2)^(1.16725)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
47,36820,34.1901,-78.2818,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+2.5179*((DBH^2)^(1.16725)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
48,36820,34.8324,-77.345,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+2.5179*((DBH^2)^(1.16725)),in2,1,119,NA,lb,Temperate coniferous forests,Whole tree (above stump)
